author,description,source,title,url,real_or_fake
"Evan Perez, Laura Jarrett, Pamela Brown and Jeremy Herb, CNN","As last Thanksgiving approached, President Donald Trump's personal lawyers drove to the Justice Department for a hastily arranged meeting.","{'id': 'cnn', 'name': 'CNN'}","Mueller speaks, but he's still an enigma",http://us.cnn.com/2019/05/30/politics/mueller-enigma/index.html,1
Cristina Marcos,"A conservative House Republican prevented the passage of a disaster aid bill on Thursday, meaning lawmakers won't be able to send the measure to President Trump until the chamber reconvenes next week.","{'id': 'the-hill', 'name': 'The Hill'}",Third House Republican blocks disaster aid bill,http://thehill.com/homenews/house/446233-third-house-republican-blocks-disaster-aid-bill,1
ANDREW SELSKY,"SALEM, Ore. (AP) — Oregon is awash in pot, glutted with so much legal weed that if growing were to stop today, it could take more than six years by one estimate to smoke or eat it all.Now,...","{'id': 'associated-press', 'name': 'Associated Press'}","Oregon, awash in marijuana, takes steps to curb production",https://apnews.com/eaea113eee94421789b24fcf047f6bae,1
Alex Matthews-King,Analysis: The benefits of gene editing are vast and its unknown risks must be weighed against the stark realities of diseases like malaria,"{'id': 'independent', 'name': 'Independent'}",Is genetic modification the future of fighting disease?,http://www.independent.co.uk/news/health/mosquitos-malaria-genetically-modified-disease-dna-editing-a8937371.html,1
"Kate Sullivan, CNN",Attorney General William Barr said he believes special counsel Robert Mueller could have reached a conclusion on whether President Donald Trump had committed obstruction of justice.,"{'id': 'cnn', 'name': 'CNN'}",Barr: Mueller 'could've reached a conclusion' on obstruction of justice,http://us.cnn.com/2019/05/30/politics/william-barr-mueller-conclusion-obstruction-of-justice/index.html,1
,"CHICAGO (AP) — Prosecutors charged R&B singer R. Kelly on Thursday with 11 new sex-related counts, including some that carry a maximum sentence of 30 years in prison, making them the most serious...","{'id': 'associated-press', 'name': 'Associated Press'}",R. Kelly charged with 11 new sex-related crimes in Chicago,https://apnews.com/35cf323c41794bb9a9564e80c3018459,1
MARTIN CRUTSINGER,WASHINGTON (AP) — Enjoy it while it lasts.The U.S. economy grew at a solid 3.1% annual rate in the January-March quarter — a pace that will likely prove to be the high-water mark for the...,"{'id': 'associated-press', 'name': 'Associated Press'}",Why the US economy may have already peaked for the year,https://apnews.com/1ae964295417441d95aee37aa6189532,1
BBC News,The new charges carry heavier sentences than the 11 others he already faces.,"{'id': 'bbc-news', 'name': 'BBC News'}",R. Kelly facing 11 more sex crime charges,http://www.bbc.co.uk/news/world-us-canada-48467119,1
Jordan Fabian,"The White House on Thursday is expected to formally notify Congress that it is starting the approval process for President Trump’s revision of the North American Free Trade Agreement (NAFTA), according to multiple reports, a move that wo","{'id': 'the-hill', 'name': 'The Hill'}",White House to start clock on approval for new NAFTA: reports,http://thehill.com/policy/finance/446228-white-house-to-start-clock-on-approval-for-new-nafta-reports,1
LARRY NEUMEISTER and MARK SHERMAN,"NEW YORK (AP) — A Republican redistricting expert advocated for adding a citizenship question to the 2020 census to give an electoral edge to whites and Republicans, opponents of the move alleged...","{'id': 'associated-press', 'name': 'Associated Press'}",Lawyers: Docs show census changed to give Republicans edge,https://apnews.com/bbc9132adf4f4b56bb2eae44d8ebe4fa,1
